Unnamed: 0.1,Unnamed: 0,OCCP,RAC2P,ST,CIT,ESR,SCHL,MAR,SEX,PUMA,PUMA_FULL,DOB,DOB-Day-str,DOB-Month-str,DOB-Year-str,PUMA_og,DOB-Day,DOB-Month,DOB-Year,age,weight,DOB-str,DOB-dt,identifiers,name,SSN,credit card number,phone number,zip code,address
621655,27187972,1,1,27,1,3,1,1,2,702,2700702,34789,26,November,2025,2700702,13,9,96,0,133,26 November 2025,2025-11-26,"CIT,DOB,MAR,SEX,ST",Minnie Morales,760-36-4013,373430980500977,(503) 826-1412,97402,"3150 W 11th Ave, Eugene, OR 97402"
1753368,5212835,12,2,47,2,2,18,1,1,102,4700102,27625,16,April,2006,4700102,23,7,77,19,197,16 April 2006,2006-04-16,"CIT,DOB,MAR,SEX,ST",John Striplin,229-18-1680,30081219136193,(907) 516-6523,99587,"165 Olympic Mountain Loop, Girdwood, AK 99587"
154600,54942819,109,19,17,3,1,18,2,2,3103,1703103,11016,25,October,1960,1703103,21,5,31,65,113,25 October 1960,1960-10-25,"DOB,MAR,RAC2P,SEX,ST",Katherine Manion,693-95-8936,5569985435346246,(901) 936-7842,38119,"5259 Poplar Ave, Memphis, TN 38119"
2794195,73732813,220,4,4,1,1,17,2,1,2707,0402707,18843,31,March,1982,402707,31,6,53,43,75,31 March 1982,1982-03-31,"DOB,ESR,OCCP,RAC2P,ST",John Buhrmann,090-76-6913,6011799118384255,(954) 620-6708,33556,"16101 Nine Eagles Dr, Odessa, FL 33556"
886292,44423454,243,2,1,1,1,22,2,2,8106,0108106,23448,8,November,1994,108106,10,9,65,31,401,8 November 1994,1994-11-08,"DOB,ESR,OCCP,RAC2P,SEX",Rosie Cole,033-04-1536,4278498084124117,(323) 328-5194,92037,"1132 Prospect St, La Jolla, CA 92037"
2475547,82029384,36,4,3,2,1,22,1,2,3804,0303804,23622,1,May,1995,303804,3,4,66,30,211,1 May 1995,1995-05-01,"CIT,DOB,OCCP,RAC2P,ST",Margaret Hughes,224-30-8280,3549353487401643,(332) 660-7632,10019,"240 W 55th St, New York, NY 10019"
1895702,30683951,26,61,1,1,6,17,2,2,8111,0108111,26637,2,August,2003,108111,5,12,74,22,107,2 August 2003,2003-08-02,"MAR,OCCP,RAC2P,SCHL,SEX",Cora Willard,617-04-9196,4427868011280598,(949) 552-2102,92126,"10749 Westview Pkwy, San Diego, CA 92126"
194616,22672193,97,67,28,4,1,21,3,2,1100,2801100,13500,14,August,1967,2801100,22,12,38,58,54,14 August 1967,1967-08-14,"CIT,MAR,RAC2P,SCHL,SEX",Edith Dean,204-92-8929,30204505331589,(539) 986-2114,74104,"1145 S Utica Ave Suite G-18, Tulsa, OK 74104"
486536,15163060,19,1,1,1,1,17,1,2,2500,0102500,26342,11,October,2002,102500,18,5,73,23,332,11 October 2002,2002-10-11,"DOB,ESR,MAR,OCCP,ST",Nora Roberts,430-29-7360,6011226025634218,(820) 714-0907,95380,"1665 Lander Ave, Turlock, CA 95380"
2594569,46569300,117,30,24,5,4,22,1,1,900,2400900,26905,26,April,2004,2400900,13,7,75,21,75,26 April 2004,2004-04-26,"CIT,ESR,MAR,RAC2P,ST",George Casey,604-36-0107,6011375433036548,(803) 730-2507,30901,"10 James Brown Blvd, Augusta, GA 30901"
1914412,26378119,1,5,1,1,3,3,1,1,2402,0102402,33342,10,December,2021,102402,7,3,92,4,368,10 December 2021,2021-12-10,"DOB,ESR,RAC2P,SCHL,SEX",Edward Burkhead,778-21-6925,4850142940196556,(661) 368-2653,81210,"10209 CO-135, Almont, CO 81210"
768742,4839766,5,52,47,1,1,23,1,2,400,4700400,21987,8,November,1990,4700400,10,9,61,35,53,8 November 1990,1990-11-08,"ESR,MAR,RAC2P,SCHL,ST",Ida Swan,349-36-2548,6011934060883562,(907) 926-3694,99611,"1235 Angler Dr, Kenai, AK 99611"
2762006,91507236,389,1,40,1,7,20,1,1,306,4000306,25803,20,April,2001,4000306,4,7,72,24,225,20 April 2001,2001-04-20,"ESR,MAR,SCHL,SEX,ST",Andrew Rodriguez,221-98-5515,4484656482366297,(808) 731-4653,96815,"226 Lewers St, Honolulu, HI 96815"
2793380,96502127,133,59,13,1,6,18,2,2,400,1300400,25412,25,March,2000,1300400,21,6,71,25,49,25 March 2000,2000-03-25,"ESR,MAR,RAC2P,SCHL,SEX",Marie Kim,105-12-6225,30044369957776,(206) 456-3216,99152,"202 WA-31, Metaline, WA 99152"
1162573,51902116,215,10,21,1,1,20,1,1,1303,2101303,26857,9,March,2004,2101303,6,6,75,21,602,9 March 2004,2004-03-09,"CIT,DOB,RAC2P,SEX,ST",John Rohrbeck,100-46-5636,3514895134332002,(763) 764-4496,55403,"1204 Harmon Pl, Minneapolis, MN 55403"
744152,61323386,1,7,18,4,2,14,1,2,700,1800700,28971,22,December,2009,1800700,9,3,80,16,157,22 December 2009,2009-12-22,"CIT,DOB,MAR,SCHL,ST",Lenore Trosper,619-34-0712,5469367632016321,(417) 840-4961,64424,"4100 Miller St, Bethany, MO 64424"
